PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock, TX",00-0000,All Occupations,total,1028500,0.8,1000,1,25.87,53810,1.5,9.85,12.89,19.26,31.5,49.12,20500,26800,40070,65520,102170,,
TX,12420,"Austin-Round Rock, TX",11-0000,Management Occupations,major,54720,2.6,53.207,1.01,59.04,122810,1.3,24.99,34.45,49.9,73.27,#,51980,71650,103800,152390,#,,
TX,12420,"Austin-Round Rock, TX",11-1011,Chief Executives,detailed,630,11.6,0.614,0.45,108.75,226210,7.6,24.56,72.63,#,#,#,51090,151060,#,#,#,,
TX,12420,"Austin-Round Rock, TX",11-1021,General and Operations Managers,detailed,18440,6.3,17.926,1.13,59.84,124460,2.3,19.89,29.87,47.05,76.99,#,41370,62120,97870,160140,#,,
TX,12420,"Austin-Round Rock, TX",11-1031,Legislators,detailed,110,13.2,0.104,0.3,*,*,*,*,*,*,*,*,*,*,*,*,*,TRUE,
TX,12420,"Austin-Round Rock, TX",11-2011,Advertising and Promotions Managers,detailed,350,30.6,0.341,1.95,41.2,85700,18,10.61,11.9,36.28,57.17,79.26,22070,24760,75460,118910,164850,,
TX,12420,"Austin-Round Rock, TX",11-2021,Marketing Managers,detailed,1740,7.9,1.69,1.02,67.09,139550,2.6,34.86,46.45,62.89,81.9,#,72520,96620,130810,170350,#,,
TX,12420,"Austin-Round Rock, TX",11-2022,Sales Managers,detailed,2700,7.3,2.627,1,76.37,158850,3.1,36.54,47.93,68.11,93.07,#,76000,99690,141670,193590,#,,
TX,12420,"Austin-Round Rock, TX",11-2031,Public Relations and Fundraising Managers,detailed,760,9.2,0.736,1.47,62.44,129870,6.4,33.19,41.79,54.03,74.6,99.71,69020,86920,112370,155170,207400,,
TX,12420,"Austin-Round Rock, TX",11-3011,Administrative Services Managers,detailed,3800,3.4,3.698,1.89,52.25,108680,1.8,28.72,40.34,51.21,61.79,75.49,59750,83900,106520,128520,157010,,
TX,12420,"Austin-Round Rock, TX",11-3021,Computer and Information Systems Managers,detailed,3330,6.2,3.238,1.2,74.72,155420,3.1,38.6,51.96,69.91,88.41,#,80290,108090,145420,183890,#,,
TX,12420,"Austin-Round Rock, TX",11-3031,Financial Managers,detailed,3350,5.1,3.261,0.78,69.25,144050,3.1,30.81,46.14,60.38,82.51,#,64090,95970,125580,171630,#,,
TX,12420,"Austin-Round Rock, TX",11-3051,Industrial Production Managers,detailed,690,9.6,0.669,0.53,61.5,127910,4.2,32.85,39.93,53.55,75.53,98.69,68320,83060,111380,157090,205270,,
TX,12420,"Austin-Round Rock, TX",11-3061,Purchasing Managers,detailed,470,16.8,0.46,0.96,64.2,133550,3.1,38.56,48.52,60.17,77.81,95.25,80200,100920,125160,161850,198120,,
TX,12420,"Austin-Round Rock, TX",11-3071,"Transportation, Storage, and Distribution Managers",detailed,770,26.4,0.746,0.87,48.65,101180,9.7,21.3,24.66,41.19,56.94,92.15,44310,51290,85680,118430,191660,,
TX,12420,"Austin-Round Rock, TX",11-3111,Compensation and Benefits Managers,detailed,80,14.8,0.078,0.72,55.89,116240,7.6,32.28,39.44,50.95,63.16,90.58,67140,82040,105970,131370,188400,,
TX,12420,"Austin-Round Rock, TX",11-3121,Human Resources Managers,detailed,760,6.2,0.743,0.75,62.25,129480,2.7,35.26,43.47,55.17,70.9,99.01,73340,90430,114750,147470,205930,,
TX,12420,"Austin-Round Rock, TX",11-3131,Training and Development Managers,detailed,170,14.4,0.168,0.68,56.91,118380,3.3,34.61,41.95,51.65,70.47,89.15,72000,87250,107420,146570,185440,,
TX,12420,"Austin-Round Rock, TX",11-9021,Construction Managers,detailed,2970,10.2,2.887,1.5,47.35,98500,8.7,29,34.2,41.59,51.68,69.53,60310,71140,86510,107480,144630,,
TX,12420,"Austin-Round Rock, TX",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,290,21.9,0.281,0.8,24.3,50540,8.3,14.21,18.92,22.12,27.11,38.56,29550,39360,46010,56390,80200,,
TX,12420,"Austin-Round Rock, TX",11-9032,"Education Administrators, Elementary and Secondary School",detailed,1980,6.9,1.928,1.06,*,88680,3,*,*,*,*,*,61300,72030,86570,101800,120950,TRUE,
TX,12420,"Austin-Round Rock, TX",11-9033,"Education Administrators, Postsecondary",detailed,**,**,**,**,62.48,129960,10.1,32.95,39.64,52.61,74.2,#,68550,82450,109420,154340,#,,
TX,12420,"Austin-Round Rock, TX",11-9039,"Education Administrators, All Other",detailed,170,24.9,0.165,0.58,49.26,102460,9.5,21.99,27.96,41,53.14,82.13,45730,58160,85280,110520,170820,,
TX,12420,"Austin-Round Rock, TX",11-9041,Architectural and Engineering Managers,detailed,**,**,**,**,79.45,165260,4.4,45.36,57.99,73.35,93.42,#,94340,120610,152560,194320,#,,
TX,12420,"Austin-Round Rock, TX",11-9051,Food Service Managers,detailed,1180,17.9,1.151,0.76,31.33,65170,2.9,17.84,24.72,30.76,36.56,44.91,37100,51420,63990,76040,93420,,
TX,12420,"Austin-Round Rock, TX",11-9081,Lodging Managers,detailed,270,20,0.264,1.03,26.99,56140,7.6,15.81,18.01,24.56,28.52,42.81,32890,37460,51080,59330,89040,,
TX,12420,"Austin-Round Rock, TX",11-9111,Medical and Health Services Managers,detailed,1960,8.2,1.906,0.74,49.89,103760,4.4,24.25,32.28,42.26,58,82.87,50430,67130,87890,120640,172370,,
TX,12420,"Austin-Round Rock, TX",11-9121,Natural Sciences Managers,detailed,330,23.4,0.323,0.78,61.17,127240,10.1,32.35,39.79,50.93,68.63,#,67290,82770,105930,142750,#,,
TX,12420,"Austin-Round Rock, TX",11-9141,"Property, Real Estate, and Community Association Managers",detailed,1350,11.3,1.313,0.94,35.97,74820,8.1,17.38,21.73,29.04,46.99,66.3,36150,45190,60400,97740,137900,,
TX,12420,"Austin-Round Rock, TX",11-9151,Social and Community Service Managers,detailed,690,8.9,0.666,0.64,33.96,70630,4,18.99,25.31,30.41,39.04,48.86,39500,52650,63260,81210,101630,,
TX,12420,"Austin-Round Rock, TX",11-9161,Emergency Management Directors,detailed,80,3.4,0.075,1.14,35.08,72970,3.7,21.12,26.34,33.61,40.4,50.85,43930,54780,69900,84030,105770,,
TX,12420,"Austin-Round Rock, TX",11-9199,"Managers, All Other",detailed,1910,9.1,1.854,0.58,55.32,115070,2.9,33.07,41.39,51.23,66.33,80.39,68780,86090,106550,137960,167210,,
TX,12420,"Austin-Round Rock, TX",13-0000,Business and Financial Operations Occupations,major,65030,2.8,63.226,1.19,35.61,74070,1.2,19.31,24.23,31.53,41.74,55.17,40170,50410,65580,86830,114750,,
TX,12420,"Austin-Round Rock, TX",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,150,46.8,0.141,1.38,28.76,59810,12.4,19.42,22.41,26.53,31.02,37.54,40400,46620,55190,64510,78080,,
TX,12420,"Austin-Round Rock, TX",13-1020,Buyers and Purchasing Agents,detailed,3440,8.3,3.349,1.19,30.25,62910,2.3,17.65,21.76,28.36,35.57,44.74,36720,45260,58980,73990,93060,,
TX,12420,"Austin-Round Rock, TX",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,2000,11.5,1.941,0.98,28.4,59070,5.2,18.69,21.54,26.16,33.9,40.9,38870,44810,54400,70520,85070,,
TX,12420,"Austin-Round Rock, TX",13-1041,Compliance Officers,detailed,1710,5.5,1.66,0.8,32.81,68240,4.1,19.71,23.58,29.2,39.17,50.33,40990,49050,60730,81470,104680,,
TX,12420,"Austin-Round Rock, TX",13-1051,Cost Estimators,detailed,1650,9.1,1.603,1.1,36.91,76770,3.1,21.56,27.45,35.21,44.04,56.82,44840,57090,73240,91610,118180,,
TX,12420,"Austin-Round Rock, TX",13-1071,Human Resources Specialists,detailed,5560,7.1,5.401,1.32,34.03,70780,5.6,19.12,23.8,29.17,36.95,48.59,39780,49500,60680,76860,101070,,
TX,12420,"Austin-Round Rock, TX",13-1075,Labor Relations Specialists,detailed,280,30,0.271,0.51,31.94,66430,13.5,8.8,21.52,29.16,39.6,53.28,18310,44760,60650,82380,110820,,
TX,12420,"Austin-Round Rock, TX",13-1081,Logisticians,detailed,1500,18.4,1.458,1.24,38.93,80970,4.6,19.63,26.44,36.14,48.46,61.47,40820,54990,75170,100800,127860,,
