PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock, TX",47-2071,"Paving, Surfacing, and Tamping Equipment Operators",detailed,740,33,0.799,2.07,16.28,33870,4.2,10.35,12.34,16.13,18.74,22.94,21530,25670,33550,38970,47710,,
TX,12420,"Austin-Round Rock, TX",47-2073,Operating Engineers and Other Construction Equipment Operators,detailed,2120,13.1,2.286,0.89,17.72,36860,2.4,12.73,14.48,16.98,19.71,23.39,26480,30120,35320,41010,48660,,
TX,12420,"Austin-Round Rock, TX",47-2081,Drywall and Ceiling Tile Installers,detailed,990,10.5,1.069,1.67,16.72,34770,2.3,12,14.15,16.64,18.87,22.46,24970,29430,34600,39240,46720,,
TX,12420,"Austin-Round Rock, TX",47-2111,Electricians,detailed,2960,7,3.192,0.74,22.59,46990,2.6,14.83,18.07,22.06,26.94,30.73,30850,37590,45880,56030,63920,,
TX,12420,"Austin-Round Rock, TX",47-2121,Glaziers,detailed,**,**,**,**,16.79,34920,5.8,12.29,14.19,16.97,19.67,22.6,25570,29510,35300,40920,47010,,
TX,12420,"Austin-Round Rock, TX",47-2131,"Insulation Workers, Floor, Ceiling, and Wall",detailed,**,**,**,**,18.19,37830,6.7,12.07,13.97,17.96,21.91,25.24,25110,29050,37350,45580,52510,,
TX,12420,"Austin-Round Rock, TX",47-2132,"Insulation Workers, Mechanical",detailed,230,36.6,0.249,1.17,17.96,37350,6.3,13.1,15.02,16.89,18.75,23.45,27250,31230,35130,38990,48780,,
TX,12420,"Austin-Round Rock, TX",47-2141,"Painters, Construction and Maintenance",detailed,1080,23.2,1.16,0.75,13.97,29070,2.5,10.63,12.32,13.78,15.54,17.97,22110,25620,28650,32320,37380,,
TX,12420,"Austin-Round Rock, TX",47-2151,Pipelayers,detailed,740,19.6,0.801,2.71,16.04,33360,2.2,12.13,13.31,15.36,18,21.4,25230,27690,31940,37440,44500,,
TX,12420,"Austin-Round Rock, TX",47-2152,"Plumbers, Pipefitters, and Steamfitters",detailed,2560,10.5,2.754,0.97,22.15,46080,4.4,12.81,16.82,21.51,26.81,33.25,26640,34990,44730,55760,69160,,
TX,12420,"Austin-Round Rock, TX",47-2171,Reinforcing Iron and Rebar Workers,detailed,370,16.5,0.398,2.73,16.08,33450,5.8,11.78,13.44,15.76,17.72,18.91,24500,27950,32780,36870,39340,,
TX,12420,"Austin-Round Rock, TX",47-2181,Roofers,detailed,660,37,0.713,0.9,15.59,32430,3.9,10.27,12.75,16.04,18.21,20.9,21350,26530,33360,37870,43460,,
TX,12420,"Austin-Round Rock, TX",47-2211,Sheet Metal Workers,detailed,850,12.4,0.913,0.93,19.55,40670,5.9,11.73,14.19,18.35,25.51,29.01,24390,29520,38180,53050,60330,,
TX,12420,"Austin-Round Rock, TX",47-2221,Structural Iron and Steel Workers,detailed,340,35.7,0.361,0.78,17.36,36100,3.6,12.68,14.47,16.75,18.88,24.36,26360,30100,34840,39270,50680,,
TX,12420,"Austin-Round Rock, TX",47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",detailed,100,48.8,0.11,0.66,12.43,25860,4.9,10.3,11.34,12.61,13.78,14.49,21430,23590,26220,28670,30130,,
TX,12420,"Austin-Round Rock, TX",47-3012,Helpers--Carpenters,detailed,40,34.6,0.042,0.15,14.84,30880,7.2,9.06,13.04,15.45,17.44,18.63,18850,27130,32140,36280,38760,,
TX,12420,"Austin-Round Rock, TX",47-3013,Helpers--Electricians,detailed,690,37,0.748,1.44,15.62,32490,4.9,10.25,12.41,15.66,18.54,21.82,21330,25810,32570,38560,45390,,
TX,12420,"Austin-Round Rock, TX",47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",detailed,**,**,**,**,12.94,26910,3.7,10.15,11.44,12.96,14.35,16.2,21100,23790,26950,29840,33690,,
TX,12420,"Austin-Round Rock, TX",47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",detailed,970,36.5,1.04,2.58,13.51,28100,3.8,10.1,11.32,13.19,15.03,17.99,21010,23540,27440,31270,37410,,
TX,12420,"Austin-Round Rock, TX",47-3019,"Helpers, Construction Trades, All Other",detailed,300,41,0.324,2.36,11.96,24870,9.4,9.41,10.14,11.34,13.65,16.63,19570,21100,23580,28400,34590,,
TX,12420,"Austin-Round Rock, TX",47-4011,Construction and Building Inspectors,detailed,870,28.1,0.938,1.41,27.3,56780,2.6,18.7,22.94,27.19,30.96,37.1,38890,47710,56560,64410,77160,,
TX,12420,"Austin-Round Rock, TX",47-4021,Elevator Installers and Repairers,detailed,180,23.2,0.191,1.26,33.28,69220,5.1,20.09,25.55,34.63,40.58,45.7,41780,53140,72030,84400,95050,,
TX,12420,"Austin-Round Rock, TX",47-4041,Hazardous Materials Removal Workers,detailed,**,**,**,**,16.91,35180,4.6,12.97,15.22,16.78,18.33,20.62,26970,31660,34890,38130,42880,,
TX,12420,"Austin-Round Rock, TX",47-4051,Highway Maintenance Workers,detailed,710,13.2,0.761,0.74,17.14,35650,2.1,12.15,13.88,16.6,19.93,23.42,25270,28880,34530,41450,48720,,
TX,12420,"Austin-Round Rock, TX",47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,detailed,**,**,**,**,18.96,39430,17.5,10.79,13.64,19.56,23.91,27.77,22440,28360,40680,49730,57770,,
TX,12420,"Austin-Round Rock, TX",47-4099,"Construction and Related Workers, All Other",detailed,140,14.5,0.15,0.64,17.22,35820,2.6,12.67,14.32,16.84,20.04,22.97,26340,29770,35030,41690,47780,,
TX,12420,"Austin-Round Rock, TX",47-5013,"Service Unit Operators, Oil, Gas, and Mining",detailed,200,39.7,0.214,0.49,21.53,44770,10.5,11.39,14.76,19.83,26.45,34.55,23690,30700,41250,55010,71870,,
