area,area_title,area_type,naics,naics_title,i_group,own_code,occ_code,occ_title,o_group,tot_emp,emp_prse,jobs_1000,loc_quotient,pct_total,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,41-3021,Insurance Sales Agents,detailed,2800,15.1,2.606,0.93,,27.55,57310,7.8,12.91,17.57,22.05,28.62,46.9,26850,36540,45860,59530,97550,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,41-3031,"Securities, Commodities, and Financial Services Sales Agents",detailed,3120,11.1,2.907,0.98,,36.71,76360,5.7,17.31,19.93,27.9,44.87,69.89,36000,41450,58030,93340,145370,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,41-3041,Travel Agents,detailed,280,20.2,0.259,0.57,,18.61,38700,5.8,11.99,14.12,18.48,22.42,24.8,24930,29380,38430,46640,51590,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",detailed,13080,6.5,12.19,1.72,,26.12,54330,2.8,11.91,16.16,21.38,32.43,46.4,24770,33620,44480,67450,96520,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,6750,36.9,6.288,3.01,,49.58,103120,3.5,21.28,31.35,45.3,63.38,79.36,44250,65200,94230,131840,165070,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,8720,8.1,8.122,0.89,,28.26,58790,2.1,14.21,19.22,24.69,33.07,46.84,29560,39970,51360,68790,97430,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,41-9011,Demonstrators and Product Promoters,detailed,720,19.1,0.668,1.26,,15.91,33090,2.3,12.15,13.4,15.36,18.03,21.47,25260,27870,31950,37510,44650,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,41-9021,Real Estate Brokers,detailed,170,33.9,0.16,0.55,,*,*,*,*,*,*,*,*,*,*,*,*,*,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,41-9022,Real Estate Sales Agents,detailed,1890,16.9,1.763,1.6,,34.53,71810,7.8,14.27,20.13,29.74,44.84,50.86,29680,41860,61870,93280,105800,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,41-9031,Sales Engineers,detailed,**,**,**,**,,60.44,125710,6,26.96,36.06,58.53,76.89,95.78,56070,75000,121740,159940,199210,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,41-9041,Telemarketers,detailed,910,33.2,0.845,0.92,,18.28,38010,10.7,9.01,10.43,14.72,22.56,33.66,18740,21680,30620,46920,70010,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detailed,210,38.8,0.193,3.18,,16.87,35090,8,9.61,10.81,13.59,19.69,30.12,19990,22470,28270,40960,62660,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,41-9099,"Sales and Related Workers, All Other",detailed,1200,11.9,1.115,1.38,,18.27,38010,1.7,11.21,13.9,18.27,21.88,24.26,23310,28910,37990,45520,50470,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-0000,Office and Administrative Support Occupations,major,162240,2.2,151.151,1.14,,19.74,41060,0.6,11.86,14.44,18.2,23.71,29.97,24670,30040,37850,49320,62340,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,11540,2.9,10.75,1.06,,30.94,64360,2.1,18.85,23.4,29.42,37.31,45.45,39200,48680,61190,77600,94530,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-2011,"Switchboard Operators, Including Answering Service",detailed,350,23.6,0.324,0.7,,13.5,28090,1.9,10.26,11.65,13.44,15,17.32,21330,24240,27960,31200,36030,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-3011,Bill and Account Collectors,detailed,2440,25.7,2.274,1.42,,17.64,36680,2.1,12.42,15.36,17.31,19.27,23.64,25830,31950,36000,40070,49160,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-3021,Billing and Posting Clerks,detailed,3230,8.1,3.012,0.95,,19.58,40730,1.7,13.98,16.18,18.92,22.92,26.92,29070,33650,39350,47670,56000,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,11990,5.1,11.17,1.08,,20.81,43290,1.2,14.88,17.09,20.33,24.08,28.18,30940,35540,42280,50080,58600,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-3051,Payroll and Timekeeping Clerks,detailed,1270,35.2,1.182,1.22,,27.43,57060,6.2,16.56,19.31,23.84,31.02,37.51,34430,40160,49600,64530,78020,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-3061,Procurement Clerks,detailed,350,12.6,0.323,0.72,,20.6,42850,1.8,15.87,17.56,20.16,23.23,26.58,33000,36520,41930,48310,55280,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-3071,Tellers,detailed,3330,11.4,3.099,1.03,,14.67,30520,1.9,11.36,13.17,14.59,16.25,18.56,23620,27400,30360,33790,38600,,
