PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock-San Marcos, TX",29-2057,Ophthalmic Medical Technicians,detailed,460,46.5,0.563,2.52,16.24,33780,3,11.13,13.83,16.26,18,20.95,23150,28770,33830,37430,43570,,
TX,12420,"Austin-Round Rock-San Marcos, TX",29-2061,Licensed Practical and Licensed Vocational Nurses,detailed,3280,9.8,4.041,0.73,22.27,46310,2.2,17.18,19.52,21.59,24.65,29.24,35730,40590,44900,51260,60820,,
TX,12420,"Austin-Round Rock-San Marcos, TX",29-2071,Medical Records and Health Information Technicians,detailed,1060,17.1,1.304,0.93,16.13,33550,4.3,9.62,12.09,15.04,18.57,24.12,20010,25140,31280,38620,50170,,
TX,12420,"Austin-Round Rock-San Marcos, TX",29-2081,"Opticians, Dispensing",detailed,380,29.7,0.463,0.93,11.97,24900,9.7,8,8.88,10.78,13.85,17.45,16650,18470,22410,28810,36290,,
TX,12420,"Austin-Round Rock-San Marcos, TX",29-2092,Hearing Aid Specialists,detailed,**,**,**,**,9.13,18980,5.5,7.57,8.05,8.85,10.2,11.33,15750,16750,18410,21210,23560,,
TX,12420,"Austin-Round Rock-San Marcos, TX",29-2099,"Health Technologists and Technicians, All Other",detailed,200,16.2,0.252,0.39,21.03,43740,4.8,14.52,16.19,19.07,25.81,30.79,30200,33680,39660,53690,64030,,
TX,12420,"Austin-Round Rock-San Marcos, TX",29-9011,Occupational Health and Safety Specialists,detailed,390,16,0.483,1.05,36.04,74960,7.1,21.3,25.98,34.07,44.12,53.83,44300,54050,70870,91770,111960,,
TX,12420,"Austin-Round Rock-San Marcos, TX",29-9012,Occupational Health and Safety Technicians,detailed,170,39.4,0.215,2.36,25.19,52390,7.3,13.9,21.38,25.49,28.71,34.94,28920,44480,53030,59710,72670,,
TX,12420,"Austin-Round Rock-San Marcos, TX",29-9091,Athletic Trainers,detailed,170,18.6,0.213,1.34,*,53110,6.8,*,*,*,*,*,29230,40440,51910,60630,74110,TRUE,
TX,12420,"Austin-Round Rock-San Marcos, TX",29-9099,"Healthcare Practitioners and Technical Workers, All Other",detailed,**,**,**,**,20.81,43280,5.7,13.61,15.89,19.27,23.21,28.97,28300,33040,40090,48290,60250,,
TX,12420,"Austin-Round Rock-San Marcos, TX",31-0000,Healthcare Support Occupations,major,15540,4.5,19.123,0.64,14.13,29380,3.1,8.44,10.02,12.86,16.57,21.2,17550,20850,26740,34470,44100,,
TX,12420,"Austin-Round Rock-San Marcos, TX",31-1011,Home Health Aides,detailed,1290,23.9,1.582,0.25,11.35,23610,8.3,7.88,8.6,10.08,14.58,17.61,16390,17890,20970,30320,36620,,
TX,12420,"Austin-Round Rock-San Marcos, TX",31-1013,Psychiatric Aides,detailed,1600,22.6,1.975,3.3,9.18,19090,3.2,7.62,8.02,8.68,9.4,13.11,15860,16680,18060,19550,27260,,
TX,12420,"Austin-Round Rock-San Marcos, TX",31-1014,Nursing Assistants,detailed,3560,8.5,4.379,0.4,11.21,23320,1.9,8.56,9.75,10.92,12.69,14.38,17810,20270,22700,26400,29920,,
TX,12420,"Austin-Round Rock-San Marcos, TX",31-1015,Orderlies,detailed,250,43,0.314,0.76,12.19,25360,3.1,9.76,10.44,11.57,13.81,16.15,20300,21700,24060,28730,33580,,
TX,12420,"Austin-Round Rock-San Marcos, TX",31-2011,Occupational Therapy Assistants,detailed,280,20.6,0.342,1.51,32.11,66780,2.8,23.52,29.14,32.63,36.08,41.78,48930,60610,67860,75040,86900,,
TX,12420,"Austin-Round Rock-San Marcos, TX",31-2021,Physical Therapist Assistants,detailed,390,18.6,0.48,0.9,32.31,67210,3.3,21.37,28.03,33.05,38.33,43.23,44450,58290,68750,79730,89920,,
