PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock-San Marcos, TX",00-0000,All Occupations,total,854930,0.9,1000,1,23.03,47900,1.4,8.74,11.21,17.48,28.09,44.1,18180,23310,36360,58430,91720,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-0000,Management Occupations,major,43030,2.5,50.335,1.02,54.22,112770,1.5,23.04,32.67,45.75,68.38,#,47930,67950,95160,142220,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-1011,Chief Executives,detailed,570,8.2,0.669,0.36,93.84,195190,3.6,41.73,63.06,#,#,#,86790,131170,#,#,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-1021,General and Operations Managers,detailed,14700,2.6,17.189,1.15,57.84,120310,1.7,21.35,32.29,45.67,75.69,#,44400,67170,95000,157430,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-1031,Legislators,detailed,50,24.2,0.053,0.13,*,40370,14.4,*,*,*,*,*,15890,16870,18520,68180,82460,TRUE,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-2011,Advertising and Promotions Managers,detailed,120,21.4,0.135,0.63,33.27,69200,8.1,15.74,17.72,32.88,42.33,56.02,32740,36850,68400,88050,116510,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-2021,Marketing Managers,detailed,1450,6.3,1.699,1.29,67.44,140280,3.6,34.28,48.31,66.26,80.7,#,71290,100480,137820,167850,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-2022,Sales Managers,detailed,1970,7.8,2.308,0.87,68.12,141690,3.2,28.26,41.85,64.36,86.24,#,58770,87050,133870,179380,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-2031,Public Relations and Fundraising Managers,detailed,450,14.5,0.524,1.29,54.66,113690,4.1,30.97,38.05,50.08,61.18,88.35,64410,79140,104160,127250,183760,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-3011,Administrative Services Managers,detailed,3880,7.8,4.538,2.23,47.87,99560,1.5,28.81,36.23,45.74,56.74,70.52,59930,75360,95130,118020,146690,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-3021,Computer and Information Systems Managers,detailed,2500,8,2.929,1.22,68.2,141860,2.9,41.22,52.1,65.16,79.84,#,85730,108380,135540,166070,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-3031,Financial Managers,detailed,2450,5.7,2.871,0.76,65.02,135250,3.1,31.78,41.18,57.41,80.63,#,66090,85660,119420,167710,#,,
