PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock-San Marcos, TX",00-0000,All Occupations,total,787850,2.4,1000,1,22.76,47340,1.8,8.56,11.01,17.2,27.79,43.81,17810,22900,35780,57810,91120,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-0000,Management Occupations,major,41360,5.6,52.492,1.09,52.65,109500,2,22.07,31.87,45.38,65.4,#,45900,66300,94400,136040,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-1011,Chief Executives,,800,5,1.019,0.49,87.5,182000,3.2,41.42,58.37,82.49,#,#,86150,121400,171570,#,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-1021,General and Operations Managers,,13090,2.9,16.619,1.18,54.61,113580,2,20.87,30.69,44.2,69.1,#,43410,63830,91930,143730,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-1031,Legislators,,50,26.7,0.065,0.13,*,35150,14.5,*,*,*,*,*,15260,15890,18040,34640,77220,TRUE,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-2011,Advertising and Promotions Managers,,250,17.4,0.318,1.33,33.15,68960,4.5,15.99,19.77,30.94,42.25,54.33,33260,41120,64360,87880,113010,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-2021,Marketing Managers,,1390,11.3,1.767,1.35,65.36,135950,3.8,37.49,48,62.48,77.14,#,77970,99830,129950,160450,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-2022,Sales Managers,,2070,7.4,2.621,1.02,64.27,133670,3.3,27.06,40.57,60.56,81.71,#,56290,84380,125950,169950,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-2031,Public Relations and Fundraising Managers,,370,19.2,0.469,1.13,52.73,109670,4.3,24.18,32.91,48.82,67.13,86.59,50280,68440,101550,139620,180100,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-3011,Administrative Services Managers,,3020,9.4,3.833,1.97,45.07,93750,2.8,27.53,35.5,44.47,52.49,62.68,57270,73850,92500,109180,130370,,
