PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock, TX",51-9151,Photographic Process Workers and Processing Machine Operators,,260,21.4,0.346,0.764,11.02,22920,3.7,7.87,8.61,10.19,12.22,15.71,16360,17910,21190,25420,32670,,
TX,12420,"Austin-Round Rock, TX",51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",,30,32.5,0.045,0.312,11.04,22960,6.2,7.85,8.57,10.25,13.38,15.66,16320,17830,21320,27830,32580,,
TX,12420,"Austin-Round Rock, TX",51-9194,Etchers and Engravers,,**,**,**,**,14.39,29930,6.7,11.66,12.34,13.47,15.27,20.29,24250,25660,28030,31770,42210,,
TX,12420,"Austin-Round Rock, TX",51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",,160,31.4,0.21,0.828,12.83,26690,6.8,8.23,9.55,11.97,14.38,19.01,17120,19860,24890,29920,39530,,
TX,12420,"Austin-Round Rock, TX",51-9196,"Paper Goods Machine Setters, Operators, and Tenders",,60,40.6,0.085,0.122,13.9,28900,7.6,8.75,10.29,13.38,16.74,19.97,18200,21400,27840,34820,41550,,
TX,12420,"Austin-Round Rock, TX",51-9198,Helpers--Production Workers,,760,14.6,0.994,0.32,10.61,22080,2.1,7.86,8.87,10.42,11.95,14.09,16340,18460,21670,24860,29300,,
TX,12420,"Austin-Round Rock, TX",51-9399,"Production Workers, All Other*",,610,33.5,0.804,0.446,12.99,27020,5.4,7.96,8.92,12.01,15.39,18.76,16550,18560,24980,32010,39010,,
TX,12420,"Austin-Round Rock, TX",53-0000,Transportation and Material Moving Occupations,major,31250,4.4,41.119,0.611,13.62,28330,1.8,8.21,9.67,12.35,15.8,20.85,17070,20120,25680,32870,43360,,
TX,12420,"Austin-Round Rock, TX",53-1011,Aircraft Cargo Handling Supervisors,,70,35.8,0.098,2.021,21.57,44860,8.7,14.03,15.98,19.5,25.81,32.61,29190,33240,40560,53690,67830,,
TX,12420,"Austin-Round Rock, TX",53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",,630,9.1,0.824,0.63,20.58,42810,2.3,13.44,16.52,19.79,22.94,29.39,27960,34360,41160,47710,61130,,
TX,12420,"Austin-Round Rock, TX",53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,,740,9.8,0.971,0.628,23.27,48400,2,14.45,17.86,23.13,27.92,33.82,30060,37160,48110,58070,70340,,
TX,12420,"Austin-Round Rock, TX",53-2011,"Airline Pilots, Copilots, and Flight Engineers",,70,47.7,0.093,0.172,*,77080,10.5,*,*,*,*,*,49020,71100,81470,87860,94820,TRUE,
TX,12420,"Austin-Round Rock, TX",53-2012,Commercial Pilots,,**,**,**,**,*,70990,2.9,*,*,*,*,*,60760,64470,70550,78290,87800,TRUE,
TX,12420,"Austin-Round Rock, TX",53-3021,"Bus Drivers, Transit and Intercity",,**,**,**,**,13.49,28060,11.3,8.74,10.44,12.89,16.06,19.62,18170,21710,26820,33410,40800,,
TX,12420,"Austin-Round Rock, TX",53-3022,"Bus Drivers, School or Special Client",,2350,9.4,3.094,0.841,13.14,27330,2.8,7.96,10.18,13.24,15.88,17.87,16550,21170,27530,33030,37160,,
TX,12420,"Austin-Round Rock, TX",53-3031,Driver/Sales Workers,,1720,27.6,2.259,0.773,12.92,26880,5.5,7.95,8.96,12.31,15.24,18.6,16540,18640,25610,31690,38700,,
TX,12420,"Austin-Round Rock, TX",53-3032,Heavy and Tractor-Trailer Truck Drivers,,4240,10.9,5.576,0.483,16.68,34700,2.2,11.87,13.21,15.38,18.73,24.04,24690,27470,31980,38960,50000,,
TX,12420,"Austin-Round Rock, TX",53-3033,Light Truck or Delivery Services Drivers,,3460,7.6,4.553,0.742,15.97,33220,8.1,8.78,10.51,13.73,19.68,29.52,18250,21870,28560,40930,61400,,
TX,12420,"Austin-Round Rock, TX",53-3041,Taxi Drivers and Chauffeurs,,680,13.5,0.901,0.707,10.51,21860,4.1,7.91,8.6,9.89,12.1,14.54,16450,17880,20560,25180,30230,,
TX,12420,"Austin-Round Rock, TX",53-6021,Parking Lot Attendants,,590,25.6,0.774,0.79,10.2,21210,4,7.59,8.86,10.32,11.3,12.22,15780,18420,21460,23510,25430,,
TX,12420,"Austin-Round Rock, TX",53-6031,Automotive and Watercraft Service Attendants,,730,28.3,0.957,1.407,10.05,20910,4.9,7.79,8.54,9.94,11.34,13.32,16210,17760,20660,23590,27700,,
TX,12420,"Austin-Round Rock, TX",53-6041,Traffic Technicians,,**,**,**,**,22.81,47440,2.8,14.76,17.34,21.33,27.1,35.1,30710,36060,44360,56380,73010,,
TX,12420,"Austin-Round Rock, TX",53-6051,Transportation Inspectors,,**,**,**,**,10.56,21970,8.6,8.11,8.5,9.16,9.84,12.26,16870,17680,19050,20470,25490,,
TX,12420,"Austin-Round Rock, TX",53-6099,"Transportation Workers, All Other",,60,32.8,0.085,0.33,13.26,27580,3.4,10.05,11.42,12.99,14.42,17.65,20910,23760,27020,29990,36710,,
TX,12420,"Austin-Round Rock, TX",53-7011,Conveyor Operators and Tenders,,240,36,0.311,1.074,12.44,25870,8.2,8.4,9.53,11.86,14.5,17.37,17470,19820,24660,30150,36120,,
TX,12420,"Austin-Round Rock, TX",53-7021,Crane and Tower Operators,,50,35.7,0.067,0.216,20.16,41920,8.9,11.91,15.22,18.3,25.04,31.42,24770,31650,38060,52080,65350,,
TX,12420,"Austin-Round Rock, TX",53-7032,Excavating and Loading Machine and Dragline Operators,,700,26.2,0.923,2.387,13.76,28620,4.4,9.97,11.47,13.38,15.93,18.27,20740,23850,27820,33130,38000,,
TX,12420,"Austin-Round Rock, TX",53-7051,Industrial Truck and Tractor Operators,,1340,19.7,1.762,0.432,12.91,26850,2,8.82,10.54,12.83,15.07,17.58,18350,21910,26690,31350,36570,,
TX,12420,"Austin-Round Rock, TX",53-7061,Cleaners of Vehicles and Equipment,,1540,13.7,2.03,0.896,9.95,20700,2.9,7.59,8.23,9.43,11.13,13.47,15790,17110,19620,23160,28020,,
TX,12420,"Austin-Round Rock, TX",53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",,8160,6.7,10.733,0.674,11.16,23200,1.2,8.01,9,10.79,12.9,15.01,16650,18710,22440,26840,31220,,
TX,12420,"Austin-Round Rock, TX",53-7063,Machine Feeders and Offbearers,,210,27.2,0.282,0.299,12.03,25020,4.5,8.54,10.07,11.71,13.46,14.79,17760,20940,24350,27990,30760,,
TX,12420,"Austin-Round Rock, TX",53-7064,"Packers and Packagers, Hand",,1160,16.6,1.526,0.287,10.51,21870,4.8,7.61,8.15,9.28,11.65,16.2,15820,16960,19300,24240,33690,,
TX,12420,"Austin-Round Rock, TX",53-7081,Refuse and Recyclable Material Collectors,,750,30.9,0.992,0.998,15.04,31270,6.7,9.84,12.19,14.6,18.01,20.32,20470,25350,30360,37460,42260,,
TX,12420,"Austin-Round Rock, TX",53-7199,"Material Moving Workers, All Other",,**,**,**,**,14.57,30300,15.3,8.58,10.11,13.82,19.34,22.15,17850,21030,28750,40230,46060,,
