PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock, TX",00-0000,All Occupations,total,965100,1,1000,1,24.44,50830,1.4,9.24,11.96,18.17,29.67,47.41,19220,24870,37800,61710,98620,,
TX,12420,"Austin-Round Rock, TX",11-0000,Management Occupations,major,41370,2.3,42.868,0.85,58.8,122300,1.4,23.94,34.89,50.51,74.44,#,49790,72560,105060,154830,#,,
TX,12420,"Austin-Round Rock, TX",11-1011,Chief Executives,detailed,530,10.6,0.549,0.35,97.9,203630,5.9,35.9,59.85,95.7,#,#,74680,124480,199050,#,#,,
TX,12420,"Austin-Round Rock, TX",11-1021,General and Operations Managers,detailed,14040,3.1,14.548,0.93,59.75,124280,1.7,21.27,33.2,48.07,78.77,#,44240,69060,99980,163840,#,,
TX,12420,"Austin-Round Rock, TX",11-1031,Legislators,detailed,100,8.3,0.102,0.27,*,44130,7,*,*,*,*,*,16110,17410,21400,70510,86170,TRUE,
TX,12420,"Austin-Round Rock, TX",11-2011,Advertising and Promotions Managers,detailed,230,40.8,0.24,1.17,39.96,83120,24.6,9.93,10.94,36.7,50.54,91.21,20650,22760,76340,105120,189710,,
TX,12420,"Austin-Round Rock, TX",11-2021,Marketing Managers,detailed,1490,8.6,1.548,1.06,77.87,161970,3.3,39.13,58.1,73.98,92.88,#,81400,120840,153870,193190,#,,
TX,12420,"Austin-Round Rock, TX",11-2022,Sales Managers,detailed,2400,10.9,2.487,0.96,73.08,152000,5.1,29.5,46.54,66.25,91.43,#,61350,96810,137800,190180,#,,
TX,12420,"Austin-Round Rock, TX",11-2031,Public Relations and Fundraising Managers,detailed,570,12.6,0.589,1.29,60.74,126340,6.5,29.73,39.91,53.16,71.45,#,61840,83000,110580,148620,#,,
TX,12420,"Austin-Round Rock, TX",11-3011,Administrative Services Managers,detailed,3210,4.6,3.331,1.76,53.42,111110,2.9,24.56,40.67,50.98,61.78,78.7,51070,84600,106030,128500,163700,,
TX,12420,"Austin-Round Rock, TX",11-3021,Computer and Information Systems Managers,detailed,3030,7.5,3.143,1.25,74.1,154140,2.2,44.73,55.09,69.89,86.43,#,93030,114580,145370,179770,#,,
TX,12420,"Austin-Round Rock, TX",11-3031,Financial Managers,detailed,2130,5.8,2.203,0.57,69.24,144010,2.6,35.07,47.47,60.86,80.12,#,72940,98740,126580,166650,#,,
TX,12420,"Austin-Round Rock, TX",11-3051,Industrial Production Managers,detailed,560,8.5,0.581,0.48,62.25,129480,7.1,29.04,37.45,54.93,76.06,#,60410,77890,114260,158200,#,,
TX,12420,"Austin-Round Rock, TX",11-3061,Purchasing Managers,detailed,300,16.3,0.312,0.61,63.06,131170,3.7,30.77,45.19,62.89,77.61,94.1,64000,94000,130810,161440,195720,,
TX,12420,"Austin-Round Rock, TX",11-3071,"Transportation, Storage, and Distribution Managers",detailed,470,12.1,0.486,0.6,44.43,92400,4.6,25.66,30.48,38.06,49.39,77.04,53380,63400,79160,102720,160240,,
TX,12420,"Austin-Round Rock, TX",11-3111,Compensation and Benefits Managers,detailed,40,26.3,0.037,0.34,72.87,151580,12.5,37.96,47.81,60.69,87.27,#,78960,99440,126230,181510,#,,
TX,12420,"Austin-Round Rock, TX",11-3121,Human Resources Managers,detailed,510,7.6,0.532,0.58,63.88,132870,4.7,34.24,41.38,55.01,73.47,#,71230,86080,114420,152810,#,,
TX,12420,"Austin-Round Rock, TX",11-3131,Training and Development Managers,detailed,150,20.8,0.152,0.65,57.02,118600,4.6,29.34,37.74,51.2,71.41,94.29,61020,78510,106500,148530,196120,,
TX,12420,"Austin-Round Rock, TX",11-9021,Construction Managers,detailed,2010,10,2.081,1.17,49.33,102600,4.8,28.73,34.51,44.19,58.28,85.15,59770,71770,91910,121210,177100,,
TX,12420,"Austin-Round Rock, TX",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,280,27.9,0.292,0.85,20.79,43230,6.7,13.11,15.48,20.42,23.95,29.71,27270,32200,42470,49810,61790,,
TX,12420,"Austin-Round Rock, TX",11-9032,"Education Administrators, Elementary and Secondary School",detailed,1700,10.9,1.757,1.02,*,83300,2.6,*,*,*,*,*,56520,65370,77830,94750,113200,TRUE,
TX,12420,"Austin-Round Rock, TX",11-9033,"Education Administrators, Postsecondary",detailed,410,6.2,0.424,0.43,64.12,133370,10.6,31.93,40.22,55.45,76.08,#,66420,83660,115330,158250,#,,
TX,12420,"Austin-Round Rock, TX",11-9039,"Education Administrators, All Other",detailed,190,14,0.199,0.82,38.31,79680,6,19.93,22.15,32.55,48.94,64.14,41460,46070,67700,101800,133420,,
TX,12420,"Austin-Round Rock, TX",11-9041,Architectural and Engineering Managers,detailed,1020,18,1.054,0.83,77.67,161550,4.5,45.11,58.2,72.12,90.11,#,93830,121050,150010,187430,#,,
TX,12420,"Austin-Round Rock, TX",11-9051,Food Service Managers,detailed,1170,16.9,1.215,0.85,26.86,55860,2.8,17.43,20.23,25.1,31.74,38.52,36250,42080,52200,66010,80120,,
TX,12420,"Austin-Round Rock, TX",11-9081,Lodging Managers,detailed,180,17.7,0.182,0.72,31.21,64910,8,12.81,15.87,28.38,42.8,53.4,26640,33010,59020,89020,111060,,
TX,12420,"Austin-Round Rock, TX",11-9111,Medical and Health Services Managers,detailed,1610,13.4,1.668,0.71,50.81,105690,3.5,24.68,36.07,45.71,57.03,81.84,51340,75020,95080,118620,170220,,
TX,12420,"Austin-Round Rock, TX",11-9121,Natural Sciences Managers,detailed,130,23.3,0.133,0.34,58.79,122290,3.8,41.02,46.08,54.45,67.62,81.34,85330,95840,113250,140650,169190,,
TX,12420,"Austin-Round Rock, TX",11-9141,"Property, Real Estate, and Community Association Managers",detailed,1400,10.9,1.451,1.13,39.79,82770,9.3,15.14,22.73,31.03,50.82,74.68,31480,47290,64550,105710,155340,,
TX,12420,"Austin-Round Rock, TX",11-9151,Social and Community Service Managers,detailed,470,17.7,0.486,0.54,34.66,72100,5.4,20.18,25.15,30.96,39.99,54.26,41960,52310,64390,83190,112870,,
