PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock, TX",00-0000,All Occupations,total,996540,0.9,1000,1,24.92,51840,1.4,9.45,12.26,18.56,30.21,48,19650,25500,38610,62830,99830,,
TX,12420,"Austin-Round Rock, TX",11-0000,Management Occupations,major,43360,3.1,43.51,0.85,59.59,123940,1.2,25.29,35.38,51.49,74.46,#,52600,73590,107100,154880,#,,
TX,12420,"Austin-Round Rock, TX",11-1011,Chief Executives,detailed,460,10.6,0.463,0.31,93.39,194250,6.7,21.93,47.73,92.61,#,#,45610,99280,192630,#,#,,
TX,12420,"Austin-Round Rock, TX",11-1021,General and Operations Managers,detailed,14740,7.5,14.79,0.95,62.93,130900,1.9,25.06,34.23,50.42,80.06,#,52130,71200,104860,166530,#,,
TX,12420,"Austin-Round Rock, TX",11-1031,Legislators,detailed,90,9.2,0.086,0.24,*,48320,7.4,*,*,*,*,*,16080,17240,19170,73090,97210,TRUE,
TX,12420,"Austin-Round Rock, TX",11-2011,Advertising and Promotions Managers,detailed,190,41.1,0.186,0.95,34.89,72570,25.9,10.07,10.89,26.57,50.97,65.25,20940,22650,55270,106030,135730,,
TX,12420,"Austin-Round Rock, TX",11-2021,Marketing Managers,detailed,1520,9.1,1.528,0.99,71.33,148360,2.7,36.72,51.23,68.59,85.79,#,76370,106560,142660,178440,#,,
TX,12420,"Austin-Round Rock, TX",11-2022,Sales Managers,detailed,2660,10.9,2.673,1.03,68.74,142980,4.6,27.5,43.17,62.41,82.34,#,57200,89800,129800,171260,#,,
TX,12420,"Austin-Round Rock, TX",11-2031,Public Relations and Fundraising Managers,detailed,530,10,0.529,1.12,61.03,126950,6.7,30.63,39.45,50.11,72.22,#,63720,82060,104220,150210,#,,
TX,12420,"Austin-Round Rock, TX",11-3011,Administrative Services Managers,detailed,3180,4.1,3.195,1.69,53.43,111140,2.9,25.75,41.3,51.34,62.36,77.79,53560,85900,106780,129720,161800,,
TX,12420,"Austin-Round Rock, TX",11-3021,Computer and Information Systems Managers,detailed,3080,8.1,3.087,1.2,78.28,162810,2.2,47.12,59.98,73.31,90.56,#,98010,124760,152480,188360,#,,
TX,12420,"Austin-Round Rock, TX",11-3031,Financial Managers,detailed,2560,5.8,2.566,0.64,67.04,139450,2.4,31.15,44.25,60.3,78.9,#,64790,92040,125430,164120,#,,
TX,12420,"Austin-Round Rock, TX",11-3051,Industrial Production Managers,detailed,610,9.4,0.612,0.51,58.37,121410,3.8,32.83,39.43,54.35,70.43,91.28,68290,82020,113050,146500,189870,,
TX,12420,"Austin-Round Rock, TX",11-3061,Purchasing Managers,detailed,360,13.6,0.363,0.74,66.43,138170,2.7,36,49.14,63.68,81.41,97.01,74890,102200,132450,169340,201790,,
